wellId,MD,Inclination,Azimuth,TVD,TVDSS,North,East,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_A,2984.1,0.17,85.94,2983.9,2807.9,-6.29,22.86,775543.09,3296869.04,0.07,46.58,-0.07,2.88,9.24,40.77,40.54,7.47,22.96,29.77150556,47.84973833,29.77148694,47.84980972
well_A,3083.77,0.29,107.32,3083.57,2907.57,-6.35,23.25,775543.21,3296869.02,0.15,-52.59,0.12,21.45,9.35,40.81,40.56,7.53,22.24,29.77150556,47.84973833,29.77148667,47.84981111
well_A,3183.62,0.3,104.89,3183.42,3007.42,-6.5,23.75,775543.36,3296868.98,0.02,73.46,0.01,-2.43,9.56,40.86,40.59,7.61,21.98,29.77150556,47.84973833,29.77148611,47.8498125
well_A,3283.13,0.34,120.59,3282.93,3106.93,-6.71,24.25,775543.52,3296868.91,0.1,107.37,0.04,15.78,9.84,40.91,40.61,7.68,202,29.77150556,47.84973833,29.77148556,47.84981417
well_A,3383.17,0.33,127.48,3382.97,3206.97,-7.04,24.74,775543.66,3296868.81,0.04,-22.8,-0.01,6.89,10.23,40.95,40.64,7.76,202.48,29.77150556,47.84973833,29.77148472,47.84981556
well_A,3483.46,0.45,121.19,3483.25,3307.25,-7.42,25.3,775543.84,3296868.7,0.13,75.93,0.12,-6.27,10.68,41.01,40.66,7.84,202.93,29.77150556,47.84973833,29.77148361,47.8498175
well_A,3584.07,0.54,143.19,3583.86,3407.86,-8,25.92,775544.03,3296868.52,0.21,-36.37,0.09,21.87,11.34,41.06,40.69,7.92,203.62,29.77150556,47.84973833,29.77148194,47.84981917
well_A,3684.97,0.59,139.69,3684.75,3508.75,-8.78,26.55,775544.22,3296868.28,0.06,73.54,0.05,-3.47,12.19,41.11,40.72,8,204.59,29.77150556,47.84973833,29.77147972,47.84982111
well_A,3783.18,0.72,161.43,3782.96,3606.96,-9.75,27.07,775544.38,3296867.99,0.28,-148.65,0.13,22.14,13.22,41.16,40.74,8.09,205.72,29.77150556,47.84973833,29.77147694,47.84982278
well_A,3884.19,0.66,158.2,3883.96,3707.96,-10.89,27.49,775544.5,3296867.64,0.07,91.98,-0.06,-3.2,14.41,41.21,40.77,8.18,207.09,29.77150556,47.84973833,29.77147389,47.84982389
well_A,3983.36,0.72,183.82,3983.12,3807.12,-12.05,27.66,775544.55,3296867.29,0.31,-122.19,0.06,25.83,15.57,41.26,40.8,8.27,208.58,29.77150556,47.84973833,29.77147056,47.84982444
well_A,4085.44,0.61,154.32,4085.2,3909.2,-13.17,27.85,775544.61,3296866.94,0.35,58.87,-0.11,-28.9,16.72,41.31,40.83,8.36,209.99,29.77150556,47.84973833,29.7714675,47.849825
well_A,4183.86,0.67,161.99,4183.61,4007.61,-14.19,28.26,775544.74,3296866.63,0.11,-99.92,0.06,7.79,17.78,41.36,40.86,8.46,211.09,29.77150556,47.84973833,29.77146472,47.84982611
well_A,4285.16,0.66,152.49,4284.9,4108.9,-15.27,28.71,775544.87,3296866.3,0.11,-124.95,-0.01,-9.38,18.91,41.42,40.9,8.55,212.15,29.77150556,47.84973833,29.77146167,47.8498275
well_A,4384.19,0.63,148.37,4383.93,4207.93,-16.24,29.26,775545.04,3296866.01,0.06,1.03,-0.03,-4.16,19.94,41.48,40.93,8.65,212.97,29.77150556,47.84973833,29.77145889,47.84982917
well_A,4485.54,0.8,148.59,4485.27,4309.27,-17.32,29.92,775545.24,3296865.68,0.17,-61.2,0.17,0.22,21.1,41.54,40.96,8.76,213.71,29.77150556,47.84973833,29.77145611,47.84983111
well_A,4585.19,0.88,140.2,4584.91,4408.91,-18.5,30.77,775545.5,3296865.32,0.15,110.99,0.08,-8.42,22.38,41.61,40.99,8.86,214.28,29.77150556,47.84973833,29.77145278,47.84983361
well_A,4684.16,0.83,153.03,4683.87,4507.87,-19.73,31.58,775545.75,3296864.94,0.2,-53.74,-0.05,12.96,23.7,41.67,41.03,8.97,214.88,29.77150556,47.84973833,29.77144917,47.84983611
well_A,4783.22,0.88,148.8,4782.92,4606.92,-21.02,32.3,775545.97,3296864.55,0.08,-143.41,0.05,-4.27,25.07,41.74,41.06,9.08,215.55,29.77150556,47.84973833,29.77144556,47.84983833
well_A,4884.03,0.78,143.13,4883.72,4707.72,-22.23,33.11,775546.22,3296864.18,0.13,-150.4,-0.1,-5.62,26.38,41.81,41.1,9.19,216.08,29.77150556,47.84973833,29.77144222,47.84984083
well_A,4983.81,0.61,133.56,4983.49,4807.49,-23.14,33.91,775546.46,3296863.9,0.21,-56.19,-0.17,-9.59,27.39,41.88,41.14,9.31,216.4,29.77150556,47.84973833,29.77143972,47.84984333
well_A,5083.5,0.69,124.64,5083.17,4907.17,-23.84,34.78,775546.73,3296863.69,0.13,161.46,0.08,-8.95,28.2,41.96,41.17,9.43,36.47,29.77150556,47.84973833,29.77143778,47.84984583
well_A,5185.77,0.31,151.15,5185.44,5009.44,-24.44,35.43,775546.92,3296863.51,0.43,130.5,-0.37,25.92,28.87,42.04,41.21,9.55,216.75,29.77150556,47.84973833,29.77143611,47.84984806
well_A,5285.66,0.3,153.44,5285.33,5109.33,-24.91,35.67,775547,3296863.36,0.02,83.79,-0.01,2.29,29.37,42.11,41.25,9.67,217.34,29.77150556,47.84973833,29.77143472,47.84984861
well_A,5383.78,0.35,178.79,5383.45,5207.45,-25.44,35.79,775547.04,3296863.2,0.15,-33.82,0.05,25.84,29.91,42.18,41.29,9.8,218.16,29.77150556,47.84973833,29.77143333,47.84984889
well_A,5483.76,0.5,167.9,5483.42,5307.42,-26.17,35.89,775547.07,3296862.98,0.17,156.11,0.15,-10.89,30.65,42.25,41.33,9.92,219.1,29.77150556,47.84973833,29.77143139,47.84984917
well_A,5583.83,0.44,171.41,5583.49,5407.49,-26.98,36.04,775547.11,3296862.73,0.07,-92.04,-0.06,3.51,31.47,42.32,41.37,10.05,219.95,29.77150556,47.84973833,29.77142917,47.84984972
well_A,5683.24,0.59,127.55,5682.9,5506.9,-27.66,36.5,775547.25,3296862.52,0.41,-72.92,0.15,-44.12,32.22,42.4,41.41,10.19,40.34,29.77150556,47.84973833,29.77142722,47.84985111
