UWI,Measured Depth,TV Depth,Deviation Angle,Deviation Azimuth,Deviation N/S,N/S,Deviation E/W,E/W,PRODFit Formation Code,PRODFit Formation Name,Point Type Code,Point Type Name,Surface Latitude,Surface Longitude,BH Latitude,BH Longitude
well_d,9971,8397.34,90.4,299.9,919.72,N,1593.79,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10003,8397.04,90.7,300.1,935.72,N,1621.5,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10034,8396.6,90.9,300,951.24,N,1648.33,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10066,8396.1,90.9,299.9,967.21,N,1676.05,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10098,8395.49,91.3,300,983.19,N,1703.77,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10129,8394.68,91.7,300,998.68,N,1730.61,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10161,8393.87,91.2,300,1014.68,N,1758.31,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10193,8393.28,90.9,299.8,1030.62,N,1786.05,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10225,8392.78,90.9,299.5,1046.45,N,1813.86,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10256,8392.21,91.2,299.5,1061.72,N,1840.83,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10288,8391.48,91.4,299.6,1077.49,N,1868.66,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10320,8390.62,91.7,299.5,1093.27,N,1896.49,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10351,8389.59,92.1,299.4,1108.5,N,1923.47,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10383,8388.75,90.9,299.8,1124.3,N,1951.28,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10415,8388.3,90.7,299.9,1140.23,N,1979.04,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10447,8387.86,90.9,299.8,1156.15,N,2006.79,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10478,8387.32,91.1,299.8,1171.56,N,2033.68,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10510,8386.62,91.4,299.9,1187.48,N,2061.43,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10542,8385.75,91.7,300,1203.45,N,2089.15,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10574,8384.66,92.2,300.1,1219.47,N,2116.83,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10605,8383.91,90.6,300.3,1235.06,N,2143.62,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10637,8383.6,90.5,300.3,1251.2,N,2171.24,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10669,8383.26,90.7,300.2,1267.32,N,2198.88,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10700,8382.8,91,300.2,1282.91,N,2225.67,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10732,8382.19,91.2,300.2,1299,N,2253.33,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10764,8381.44,91.5,300.3,1315.12,N,2280.96,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10796,8380.49,91.9,300.2,1331.23,N,2308.59,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10827,8379.76,90.8,300.3,1346.85,N,2335.36,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10859,8379.37,90.6,300.2,1362.97,N,2363,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10891,8379,90.7,300.1,1379.04,N,2390.67,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10922,8378.54,91,300,1394.56,N,2417.5,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10954,8377.93,91.2,300.1,1410.58,N,2445.2,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,10986,8377.23,91.3,299.8,1426.55,N,2472.92,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,11017,8376.42,91.7,299.9,1441.98,N,2499.79,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,11049,8375.39,92,299.6,1457.85,N,2527.56,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,11081,8374.66,90.6,299.5,1473.63,N,2555.39,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,11106,8374.44,90.4,299.3,1485.9,N,2577.17,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,11160,8374.07,90.4,299.3,1512.32,N,2624.26,W,,,PE,"PROJECTED, END POINT",33.4733248,-97.4751586,33.4774807,-97.4837642
