wellId,md,inc,azim,tvd,TVD from Fld Ref,n_s_deviaition,e_w_deviation,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_C,3300,1.06,130.09,3299.68,3181.68,-34.46,-11.33,769512.55,3300794.49,1.42,133.72,-0.19,-75.31,-35.24,41,40.66,7.69,118.99,29.80829444,47.78852083,29.80820056,47.7884825
well_C,3400,1.07,218.09,3399.67,3281.67,-35.79,-11.19,769512.59,3300794.09,1.48,81.16,0.01,88,-36.3,41.04,40.69,7.77,298.01,29.80829444,47.78852083,29.80819667,47.78848278
well_C,3500,1.34,247.16,3499.65,3381.65,-36.98,-12.85,769512.08,3300793.72,0.66,-173.43,0.27,29.07,-38.19,41.1,40.72,7.85,298.57,29.80829444,47.78852083,29.80819361,47.7884775
well_C,3600,1.03,245.17,3599.63,3481.63,-37.81,-14.74,769511.5,3300793.47,0.31,-40.94,-0.31,-1.99,-39.89,41.14,40.75,7.93,299.75,29.80829444,47.78852083,29.80819139,47.78847139
well_C,3700,1.17,239.46,3699.61,3581.61,-38.71,-16.44,769510.99,3300793.2,0.18,-34.96,0.14,-5.71,-41.55,41.2,40.78,8.01,300.81,29.80829444,47.78852083,29.80818917,47.78846611
well_C,3800,1.34,234.52,3799.58,3681.58,-39.91,-18.27,769510.43,3300792.83,0.2,-59.53,0.17,-4.94,-43.53,41.25,40.8,8.1,301.62,29.80829444,47.78852083,29.80818583,47.78846028
well_C,3900,1.37,232.45,3899.56,3781.56,-41.31,-20.17,769509.85,3300792.4,0.06,-81.37,0.03,-2.07,-45.73,41.31,40.83,8.19,302.27,29.80829444,47.78852083,29.80818222,47.78845417
well_C,4000,1.39,228.1,3999.53,3881.53,-42.85,-22.02,769509.29,3300791.93,0.11,-123.75,0.02,-4.35,-48.02,41.37,40.86,8.28,302.78,29.80829444,47.78852083,29.80817806,47.78844806
well_C,4100,1.16,199.28,4099.5,3981.5,-44.62,-23.26,769508.91,3300791.39,0.67,136.45,-0.23,-28.82,-50.17,41.43,40.89,8.38,122.78,29.80829444,47.78852083,29.80817333,47.78844417
well_C,4200,1.61,305.98,4199.49,4081.49,-44.75,-24.73,769508.46,3300791.35,2.24,-136.88,0.45,106.7,-51.06,41.49,40.92,8.47,303.39,29.80829444,47.78852083,29.80817306,47.78843944
well_C,4300,1.58,213.22,4299.46,4181.46,-45.08,-26.62,769507.88,3300791.25,2.31,-13.92,-0.03,-92.76,-52.33,41.56,40.96,8.57,123.92,29.80829444,47.78852083,29.80817222,47.78843333
well_C,4400,1.78,211.63,4399.42,4281.42,-47.55,-28.19,769507.4,3300790.5,0.21,-92.27,0.2,-1.59,-55.27,41.63,41.01,8.67,123.88,29.80829444,47.78852083,29.80816556,47.78842833
well_C,4500,1.78,207.08,4499.37,4381.37,-50.26,-29.71,769506.94,3300789.67,0.14,72.25,0,-4.55,-58.37,41.7,41.04,8.77,123.72,29.80829444,47.78852083,29.80815833,47.78842333
well_C,4600,1.81,209.84,4599.32,4481.32,-53.01,-31.2,769506.48,3300788.83,0.09,-76.75,0.03,2.76,-61.49,41.76,41.08,8.88,123.54,29.80829444,47.78852083,29.80815083,47.78841833
