wellId,md,inc,azim,surface_latitude,surface_longitude
well_C,0,0,227.11,29.90829444,47.68852083
well_C,35,0,227.11,29.90829444,47.68852083
well_C,774.81,0.46,227.11,29.90829444,47.68852083
well_C,800,0.13,163.86,29.90829444,47.68852083
well_C,900,0.57,230.43,29.90829444,47.68852083
well_C,1000,0.49,254.47,29.90829444,47.68852083
well_C,1100,0.29,268.25,29.90829444,47.68852083
well_C,1200,0.6,147.67,29.90829444,47.68852083
well_C,1300,0.53,236.56,29.90829444,47.68852083
well_C,1400,0.83,190.05,29.90829444,47.68852083
well_C,1500,0.61,342.93,29.90829444,47.68852083
well_C,1600,0.87,184.69,29.90829444,47.68852083
well_C,1700,1.17,187.06,29.90829444,47.68852083
well_C,1800,1.27,193.66,29.90829444,47.68852083
well_C,1900,1.21,195.77,29.90829444,47.68852083
well_C,2000,1.18,185.77,29.90829444,47.68852083
well_C,2100,1.24,214.81,29.90829444,47.68852083
well_C,2200,1.07,203.82,29.90829444,47.68852083
well_C,2300,1.14,189.81,29.90829444,47.68852083
well_C,2400,1.16,194.18,29.90829444,47.68852083
well_C,2500,0.86,109.65,29.90829444,47.68852083
well_C,2600,0.95,214.46,29.90829444,47.68852083
well_C,2700,1.22,205.35,29.90829444,47.68852083
well_C,2800,0.82,190.63,29.90829444,47.68852083
well_C,2900,0.83,187.75,29.90829444,47.68852083
well_C,3000,0.98,193.45,29.90829444,47.68852083
well_C,3100,0.87,188.19,29.90829444,47.68852083
well_C,3200,1.25,205.4,29.90829444,47.68852083
well_C,3300,1.06,130.09,29.90829444,47.68852083
well_C,3400,1.07,218.09,29.90829444,47.68852083
well_C,3500,1.34,247.16,29.90829444,47.68852083
well_C,3600,1.03,245.17,29.90829444,47.68852083
well_C,3700,1.17,239.46,29.90829444,47.68852083
well_C,3800,1.34,234.52,29.90829444,47.68852083
well_C,3900,1.37,232.45,29.90829444,47.68852083
well_C,4000,1.39,228.1,29.90829444,47.68852083
well_C,4100,1.16,199.28,29.90829444,47.68852083
well_C,4200,1.61,305.98,29.90829444,47.68852083
well_C,4300,1.58,213.22,29.90829444,47.68852083
well_C,4400,1.78,211.63,29.90829444,47.68852083
well_C,4500,1.78,207.08,29.90829444,47.68852083
well_C,4600,1.81,209.84,29.90829444,47.68852083
well_C,4700,1.86,204.39,29.90829444,47.68852083
well_C,4800,1.63,208,29.90829444,47.68852083
well_C,4900,1.51,208.46,29.90829444,47.68852083
well_C,5000,1.57,201.98,29.90829444,47.68852083
well_C,5100,1.09,187.95,29.90829444,47.68852083
well_C,5200,0.99,185.23,29.90829444,47.68852083
well_C,5300,0.88,165.95,29.90829444,47.68852083
well_C,5400,0.91,163.86,29.90829444,47.68852083
well_C,5500,0.83,138.75,29.90829444,47.68852083
well_C,5600,0.77,253.13,29.90829444,47.68852083
well_C,5700,0.64,132.16,29.90829444,47.68852083
well_C,5800,0.91,189.07,29.90829444,47.68852083
well_C,5900,0.94,141.79,29.90829444,47.68852083
well_C,6000,0.66,143.34,29.90829444,47.68852083
well_C,6100,1.09,306.53,29.90829444,47.68852083
well_C,6200,0.91,111.26,29.90829444,47.68852083
well_C,6300,0.95,117.69,29.90829444,47.68852083
well_C,6400,0.8,87.41,29.90829444,47.68852083
well_C,6450.67,4.91,55.44,29.90829444,47.68852083
well_C,6532,10.35,48.23,29.90829444,47.68852083
well_C,6625,15.28,50.93,29.90829444,47.68852083
well_C,6720,20.67,49.37,29.90829444,47.68852083
well_C,6813,26.19,48.77,29.90829444,47.68852083
well_C,6909,34.23,48.96,29.90829444,47.68852083
well_C,7002,40.44,48.41,29.90829444,47.68852083
well_C,7098,44.43,48.88,29.90829444,47.68852083
well_C,7191,45.39,49.58,29.90829444,47.68852083
well_C,7286,48.78,49.67,29.90829444,47.68852083
well_C,7379,51.19,49.73,29.90829444,47.68852083
well_C,7475,53.89,49.78,29.90829444,47.68852083
well_C,7569,56.1,49.14,29.90829444,47.68852083
well_C,7663,58.69,49.25,29.90829444,47.68852083
well_C,7758,61.62,49.5,29.90829444,47.68852083
well_C,7851,64.38,49.12,29.90829444,47.68852083
well_C,7947,67.3,48.63,29.90829444,47.68852083
well_C,8040,70.15,48.79,29.90829444,47.68852083
well_C,8135,72.39,48.83,29.90829444,47.68852083
well_C,8229,75.47,49.02,29.90829444,47.68852083
well_C,8324,78.67,49.49,29.90829444,47.68852083
well_C,8418,81.46,49.55,29.90829444,47.68852083
well_C,8512,84.59,49.29,29.90829444,47.68852083
well_C,8606,86.2,47.62,29.90829444,47.68852083
well_C,8700,87.65,47.22,29.90829444,47.68852083
well_C,8794,89.13,47.69,29.90829444,47.68852083
well_C,8859,90.27,48.36,29.90829444,47.68852083
well_C,8924,89.72,48.41,29.90829444,47.68852083
well_C,9018,89.9,44.97,29.90829444,47.68852083
well_C,9112,90.02,42.69,29.90829444,47.68852083
well_C,9206,90.05,40.86,29.90829444,47.68852083
well_C,9292,90.03,40.48,29.90829444,47.68852083
well_C,9386,89.94,40.36,29.90829444,47.68852083
well_C,9481,90.06,39.41,29.90829444,47.68852083
well_C,9574,90.37,38.74,29.90829444,47.68852083
well_C,9669,90.24,40.09,29.90829444,47.68852083
well_C,9764,90.06,38.63,29.90829444,47.68852083
well_C,9858,89.97,35.85,29.90829444,47.68852083
well_C,9952,89.88,33.71,29.90829444,47.68852083
well_C,10047,90.15,32.12,29.90829444,47.68852083
well_C,10142,90.03,30.91,29.90829444,47.68852083
well_C,10236,89.91,29.75,29.90829444,47.68852083
well_C,10330,89.97,28.78,29.90829444,47.68852083
well_C,10424,90,28.53,29.90829444,47.68852083
well_C,10517,89.88,29.28,29.90829444,47.68852083
well_C,10613,89.88,27.59,29.90829444,47.68852083
well_C,10707,90,26.69,29.90829444,47.68852083
well_C,10802,89.72,26.72,29.90829444,47.68852083
well_C,10851,90.06,27.04,29.90829444,47.68852083
well_C,10890,90,27.35,29.90829444,47.68852083
well_A,0,0,227.11,29.90829441,47.68852081
well_A,36.75,0,227.11,29.90829441,47.68852081
well_A,813.5505,0.46,227.11,29.90829441,47.68852081
well_A,840,0.13,163.86,29.90829441,47.68852081
well_A,945,0.57,230.43,29.90829441,47.68852081
well_A,1050,0.49,254.47,29.90829441,47.68852081
well_A,1155,0.29,268.25,29.90829441,47.68852081
well_A,1260,0.6,147.67,29.90829441,47.68852081
well_A,1365,0.53,236.56,29.90829441,47.68852081
well_A,1470,0.83,190.05,29.90829441,47.68852081
well_A,1575,0.61,342.93,29.90829441,47.68852081
well_A,1680,0.87,184.69,29.90829441,47.68852081
well_A,1785,1.17,187.06,29.90829441,47.68852081
well_A,1890,1.27,193.66,29.90829441,47.68852081
well_A,1995,1.21,195.77,29.90829441,47.68852081
well_A,2100,1.18,185.77,29.90829441,47.68852081
well_A,2205,1.24,214.81,29.90829441,47.68852081
well_A,2310,1.07,203.82,29.90829441,47.68852081
well_A,2415,1.14,189.81,29.90829441,47.68852081
well_A,2520,1.16,194.18,29.90829441,47.68852081
well_A,2625,0.86,109.65,29.90829441,47.68852081
